Date,Sitting_CID,MP_Name,Attendance,MP_Name_Title
2012-09-11,012-001-089-007,Cedric Foo Chee Keng ,False,Mr Cedric Foo Chee Keng (Pioneer).
2012-09-11,012-001-089-007,Goh Chok Tong ,False,Mr Goh Chok Tong (Marine Parade).
2012-09-11,012-001-089-007,Halimah Yacob ,False,"Mdm Halimah Yacob (Jurong), Minister of State for Community Development, Youth and Sports."
2012-09-11,012-001-089-007,Hawazi Daipi ,False,"Mr Hawazi Daipi (Sembawang), Senior Parliamentary Secretary to the Minister for Education and Acting Minister for Manpower."
2012-09-11,012-001-089-007,Heng Swee Keat ,False,"Mr Heng Swee Keat (Tampines), Minister for Education."
2012-09-11,012-001-089-007,Indranee Rajah ,False,Ms Indranee Rajah (Tanjong Pagar).
2012-09-11,012-001-089-007,S Iswaran ,False,"Mr S Iswaran (West Coast), Minister, Prime Minister's Office, Second Minister for Home Affairs and Second Minister for Trade and Industry."
2012-09-11,012-001-089-007,Janice Koh ,False,Ms Janice Koh (Nominated Member).
2012-09-11,012-001-089-007,Lam Pin Min ,False,Dr Lam Pin Min (Sengkang West).
2012-09-11,012-001-089-007,Lee Kuan Yew ,False,Mr Lee Kuan Yew (Tanjong Pagar).
2012-09-11,012-001-089-007,Laurence Lien ,False,Mr Laurence Lien (Nominated Member).
2012-09-11,012-001-089-007,Raymond Lim Siang Keat ,False,Mr Raymond Lim Siang Keat (East Coast).
2012-09-11,012-001-089-007,Penny Low ,False,Miss Penny Low (Pasir Ris-Punggol).
2012-09-11,012-001-089-007,Mah Bow Tan ,False,Mr Mah Bow Tan (Tampines).
2012-09-11,012-001-089-007,Ng Eng Hen ,False,"Dr Ng Eng Hen (Bishan-Toa Payoh), Minister for Defence and Leader of the House."
2012-09-11,012-001-089-007,Irene Ng Phek Hoong ,False,Ms Irene Ng Phek Hoong (Tampines).
2012-09-11,012-001-089-007,K Shanmugam ,False,"Mr K Shanmugam (Nee Soon), Minister for Foreign Affairs and Minister for Law."
2012-09-11,012-001-089-007,Sam Tan Chin Siong ,False,"Mr Sam Tan Chin Siong (Radin Mas), Senior Parliamentary Secretary to the Minister for Foreign Affairs and Acting Minister for Community Development, Youth and Sports."
2012-09-11,012-001-089-007,Teo Ser Luck ,False,"Mr Teo Ser Luck (Pasir Ris-Punggol), Minister of State for Trade and Industry."
2012-09-11,012-001-089-007,Yee Jenn Jong ,False,Mr Yee Jenn Jong (Non-Constituency Member).
2012-09-11,012-001-089-007,Alvin Yeo ,False,Mr Alvin Yeo (Chua Chu Kang).
2012-09-11,012-001-089-007,Michael Palmer ,True,Mr SPEAKER (Mr Michael Palmer (Punggol East)).
2012-09-11,012-001-089-007,Ang Hin Kee ,True,Mr Ang Hin Kee (Ang Mo Kio).
2012-09-11,012-001-089-007,Ang Wei Neng ,True,Mr Ang Wei Neng (Jurong).
2012-09-11,012-001-089-007,Baey Yam Keng ,True,Mr Baey Yam Keng (Tampines).
2012-09-11,012-001-089-007,Chan Chun Sing ,True,"Mr Chan Chun Sing (Tanjong Pagar), Acting Minister for Community Development, Youth and Sports and Senior Minister of State for Defence."
2012-09-11,012-001-089-007,Chen Show Mao ,True,Mr Chen Show Mao (Aljunied).
2012-09-11,012-001-089-007,Chia Shi-Lu ,True,Dr Chia Shi-Lu (Tanjong Pagar).
2012-09-11,012-001-089-007,Lina Chiam ,True,Mrs Lina Chiam (Non-Constituency Member).
2012-09-11,012-001-089-007,Charles Chong ,True,"Mr Charles Chong (Joo Chiat), Deputy Speaker."
2012-09-11,012-001-089-007,Christopher de Souza ,True,Mr Christopher de Souza (Holland-Bukit Timah).
2012-09-11,012-001-089-007,R Dhinakaran ,True,Mr R Dhinakaran (Nominated Member).
2012-09-11,012-001-089-007,Faizah Jamal ,True,Ms Faizah Jamal (Nominated Member).
2012-09-11,012-001-089-007,Nicholas Fang ,True,Mr Nicholas Fang (Nominated Member).
2012-09-11,012-001-089-007,Fatimah Lateef ,True,Assoc Prof Fatimah Lateef (Marine Parade).
2012-09-11,012-001-089-007,Arthur Fong ,True,Mr Arthur Fong (West Coast).
